"Path","File","mfst","bld","inst","s10"
"lib","attributes.pm","X","X","X","distrib"
"lib","attrs.pm",,"X",,"skip"
"lib","autouse.pm","X","X","X","distrib"
"lib","autouse.t","X","X",,"distrib"
"lib","base.pm","X","X","X","distrib"
"lib","bigfloat.pl","X","X","X","distrib"
"lib","bigfloatpl.t","X","X",,"distrib"
"lib","bigint.pl","X","X","X","distrib"
"lib","bigint.pm","X","X","X","distrib"
"lib","bigintpl.t","X","X",,"distrib"
"lib","bignum.pm","X","X","X","distrib"
"lib","bigrat.pl","X",,"X","distrib"
"lib","bigrat.pm","X","X","X","distrib"
"lib","blib.pm","X","X","X","distrib"
"lib","blib.t","X","X",,"distrib"
"lib","bytes.pm","X","X","X","distrib"
"lib","bytes.t","X","X",,"distrib"
"lib","bytes_heavy.pl","X","X","X","distrib"
"lib","cacheout.pl","X",,"X","distrib"
"lib","charnames.pm","X","X","X","distrib"
"lib","charnames.t","X","X",,"distrib"
"lib","complete.pl","X",,"X","distrib"
"lib","constant.pm","X","X","X","distrib"
"lib","constant.t","X","X",,"distrib"
"lib","ctime.pl","X",,"X","distrib"
"lib","dbm_filter_util.pl","X","X","X","distrib"
"lib","diagnostics.pm","X","X","X","distrib"
"lib","diagnostics.t","X","X",,"distrib"
"lib","dotsh.pl","X",,"X","distrib"
"lib","dumpvar.pl","X","X","X","distrib"
"lib","dumpvar.t","X","X",,"distrib"
"lib","encoding.pm",,"X",,"skip"
"lib","exceptions.pl","X",,"X","distrib"
"lib","fastcwd.pl","X",,"X","distrib"
"lib","fields.pm","X","X","X","distrib"
"lib","filetest.pm","X","X","X","distrib"
"lib","filetest.t","X","X",,"distrib"
"lib","find.pl","X",,"X","distrib"
"lib","finddepth.pl","X",,"X","distrib"
"lib","flush.pl","X",,"X","distrib"
"lib","getcwd.pl","X",,"X","distrib"
"lib","getopt.pl","X",,"X","distrib"
"lib","getopts.pl","X",,"X","distrib"
"lib","h2ph.t","X","X",,"distrib"
"lib","h2xs.t","X","X",,"distrib"
"lib","hostname.pl","X",,"X","distrib"
"lib","if.pm","X","X","X","distrib"
"lib","if.t","X","X",,"distrib"
"lib","importenv.pl","X",,"X","distrib"
"lib","integer.pm","X","X","X","distrib"
"lib","integer.t","X","X",,"distrib"
"lib","less.pm","X","X","X","distrib"
"lib","less.t","X","X",,"distrib"
"lib","lib.pm",,"X",,"skip"
"lib","lib.t","X","X",,"distrib"
"lib","lib_pm.PL","X","X",,"distrib"
"lib","locale.pm","X","X","X","distrib"
"lib","locale.t","X","X",,"distrib"
"lib","look.pl","X",,"X","distrib"
"lib","newgetopt.pl","X","X","X","distrib"
"lib","open.pm","X","X","X","distrib"
"lib","open.t","X","X",,"distrib"
"lib","open2.pl","X",,"X","distrib"
"lib","open3.pl","X",,"X","distrib"
"lib","ops.pm",,"X",,"skip"
"lib","overload.pm","X","X","X","distrib"
"lib","overload.t","X","X",,"distrib"
"lib","perl5db.pl","X",,"X","distrib"
"lib","ph.t","X","X",,"distrib"
"lib","pwd.pl","X",,"X","distrib"
"lib","re.pm",,"X",,"skip"
"lib","shellwords.pl","X",,"X","distrib"
"lib","sigtrap.pm","X","X","X","distrib"
"lib","sigtrap.t","X","X",,"distrib"
"lib","sort.pm","X","X","X","distrib"
"lib","sort.t","X","X",,"distrib"
"lib","stat.pl","X",,"X","distrib"
"lib","strict.pm","X","X","X","distrib"
"lib","strict.t","X","X",,"distrib"
"lib","subs.pm","X","X","X","distrib"
"lib","subs.t","X","X",,"distrib"
"lib","syslog.pl","X",,"X","distrib"
"lib","tainted.pl","X",,"X","distrib"
"lib","termcap.pl","X",,"X","distrib"
"lib","timelocal.pl","X","X","X","distrib"
"lib","utf8.pm","X","X","X","distrib"
"lib","utf8.t","X","X",,"distrib"
"lib","utf8_heavy.pl","X","X","X","distrib"
"lib","validate.pl","X",,"X","distrib"
"lib","vars.pm","X","X","X","distrib"
"lib","vars.t","X","X",,"distrib"
"lib","vmsish.pm","X","X","X","distrib"
"lib","vmsish.t","X","X",,"distrib"
"lib","warnings.pm","X","X","X","distrib"
"lib","warnings.t","X","X",,"distrib"
"lib/Attribute","Handlers.pm","X","X","X","distrib"
"lib/Attribute/Handlers","Changes","X",,"X","skip"
"lib/Attribute/Handlers","README","X",,"X","skip"
"lib/Attribute/Handlers/demo","Demo.pm","X",,"X","distrib"
"lib/Attribute/Handlers/demo","Descriptions.pm","X",,"X","distrib"
"lib/Attribute/Handlers/demo","MyClass.pm","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo2.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo3.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo4.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo_call.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo_chain.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo_cycle.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo_hashdir.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo_phases.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo_range.pl","X",,"X","distrib"
"lib/Attribute/Handlers/demo","demo_rawdata.pl","X",,"X","distrib"
"lib/Attribute/Handlers/t","multi.t","X","X",,"distrib"
"lib/B",".exists",,"X",,"skip"
"lib/B","Asmdata.pm",,"X",,"skip"
"lib/B","Assembler.pm",,"X",,"skip"
"lib/B","Bblock.pm",,"X",,"skip"
"lib/B","Bytecode.pm",,"X",,"skip"
"lib/B","C.pm",,"X",,"skip"
"lib/B","CC.pm",,"X",,"skip"
"lib/B","Concise.pm",,"X",,"skip"
"lib/B","Debug.pm",,"X",,"skip"
"lib/B","Deparse.pm",,"X",,"skip"
"lib/B","Disassembler.pm",,"X",,"skip"
"lib/B","Lint.pm",,"X",,"skip"
"lib/B","Showlex.pm",,"X",,"skip"
"lib/B","Stackobj.pm",,"X",,"skip"
"lib/B","Stash.pm",,"X",,"skip"
"lib/B","Terse.pm",,"X",,"skip"
"lib/B","Xref.pm",,"X",,"skip"
"lib/B","assemble",,"X",,"skip"
"lib/B","cc_harness",,"X",,"skip"
"lib/B","disassemble",,"X",,"skip"
"lib/B","makeliblinks",,"X",,"skip"
"lib/CGI","Apache.pm","X","X","X","distrib"
"lib/CGI","Carp.pm","X","X","X","distrib"
"lib/CGI","Cookie.pm","X","X","X","distrib"
"lib/CGI","Fast.pm","X","X","X","distrib"
"lib/CGI","Pretty.pm","X","X","X","distrib"
"lib/CGI","Push.pm","X","X","X","distrib"
"lib/CGI","Switch.pm","X","X","X","distrib"
"lib/CGI","Util.pm","X","X","X","distrib"
"lib/CGI/eg","RunMeFirst","X",,"X","distrib"
"lib/CGI/eg","caution.xbm","X",,"X","distrib"
"lib/CGI/eg","clickable_image.cgi","X",,"X","distrib"
"lib/CGI/eg","cookie.cgi","X",,"X","distrib"
"lib/CGI/eg","crash.cgi","X",,"X","distrib"
"lib/CGI/eg","customize.cgi","X",,"X","distrib"
"lib/CGI/eg","diff_upload.cgi","X",,"X","distrib"
"lib/CGI/eg","dna_small_gif.uu","X",,"X","distrib"
"lib/CGI/eg","file_upload.cgi","X",,"X","distrib"
"lib/CGI/eg","frameset.cgi","X",,"X","distrib"
"lib/CGI/eg","index.html","X",,"X","distrib"
"lib/CGI/eg","internal_links.cgi","X",,"X","distrib"
"lib/CGI/eg","javascript.cgi","X",,"X","distrib"
"lib/CGI/eg","make_links.pl","X",,"X","distrib"
"lib/CGI/eg","monty.cgi","X",,"X","distrib"
"lib/CGI/eg","multiple_forms.cgi","X",,"X","distrib"
"lib/CGI/eg","nph-clock.cgi","X",,"X","distrib"
"lib/CGI/eg","nph-multipart.cgi","X",,"X","distrib"
"lib/CGI/eg","popup.cgi","X",,"X","distrib"
"lib/CGI/eg","save_state.cgi","X",,"X","distrib"
"lib/CGI/eg","tryit.cgi","X",,"X","distrib"
"lib/CGI/eg","wilogo_gif.uu","X",,"X","distrib"
"lib/CGI/t","apache.t","X","X",,"distrib"
"lib/CGI/t","carp.t","X","X",,"distrib"
"lib/CGI/t","cookie.t","X","X",,"distrib"
"lib/CGI/t","fast.t","X","X",,"distrib"
"lib/CGI/t","form.t","X","X",,"distrib"
"lib/CGI/t","function.t","X","X",,"distrib"
"lib/CGI/t","html.t","X","X",,"distrib"
"lib/CGI/t","pretty.t","X","X",,"distrib"
"lib/CGI/t","push.t","X","X",,"distrib"
"lib/CGI/t","request.t","X","X",,"distrib"
"lib/CGI/t","switch.t","X","X",,"distrib"
"lib/CGI/t","util-58.t","X","X",,"distrib"
"lib/CGI/t","util.t","X","X",,"distrib"
"lib/CPAN","FirstTime.pm","X","X","X","distrib"
"lib/CPAN","META.yml","X",,"X","distrib"
"lib/CPAN","Nox.pm","X","X","X","distrib"
"lib/CPAN","PAUSE2003.pub","X",,"X","distrib"
"lib/CPAN","SIGNATURE","X",,"X","distrib"
"lib/CPAN/bin","cpan","X","X",,"distrib"
"lib/CPAN/t","Nox.t","X","X",,"distrib"
"lib/CPAN/t","loadme.t","X","X",,"distrib"
"lib/CPAN/t","mirroredby.t","X","X",,"distrib"
"lib/CPAN/t","signature.t","X","X",,"distrib"
"lib/CPAN/t","vcmp.t","X","X",,"distrib"
"lib/Carp","Heavy.pm","X","X","X","distrib"
"lib/Class","ISA.pm","X","X","X","distrib"
"lib/Class","Struct.pm","X","X","X","distrib"
"lib/Class","Struct.t","X","X",,"distrib"
"lib/Class/ISA","test.pl","X","X",,"distrib"
"lib/DBM_Filter","Changes","X",,"X","skip"
"lib/DBM_Filter","compress.pm","X","X","X","distrib"
"lib/DBM_Filter","encode.pm","X","X","X","distrib"
"lib/DBM_Filter","int32.pm","X","X","X","distrib"
"lib/DBM_Filter","null.pm","X","X","X","distrib"
"lib/DBM_Filter","utf8.pm","X","X","X","distrib"
"lib/DBM_Filter/t","01error.t","X","X",,"distrib"
"lib/DBM_Filter/t","02core.t","X","X",,"distrib"
"lib/DBM_Filter/t","compress.t","X","X",,"skip"
"lib/DBM_Filter/t","encode.t","X","X",,"distrib"
"lib/DBM_Filter/t","int32.t","X","X",,"distrib"
"lib/DBM_Filter/t","null.t","X","X",,"distrib"
"lib/DBM_Filter/t","utf8.t","X","X",,"distrib"
"lib/Data",".exists",,"X",,"skip"
"lib/Data","Dumper.pm",,"X",,"skip"
"lib/Devel",".exists",,"X",,"skip"
"lib/Devel","DProf.pm",,"X",,"skip"
"lib/Devel","PPPort.pm",,"X",,"skip"
"lib/Devel","Peek.pm",,"X",,"skip"
"lib/Devel","SelfStubber.pm","X","X","X","distrib"
"lib/Devel","SelfStubber.t","X","X",,"distrib"
"lib/Digest",".exists",,"X",,"skip"
"lib/Digest","MD5.pm",,"X",,"skip"
"lib/Digest","base.pm","X","X","X","distrib"
"lib/Digest/t","base.t","X","X",,"distrib"
"lib/Digest/t","digest.t","X","X",,"distrib"
"lib/Encode",".exists",,"X",,"skip"
"lib/Encode","Alias.pm",,"X",,"skip"
"lib/Encode","Byte.pm",,"X",,"skip"
"lib/Encode","CJKConstants.pm",,"X",,"skip"
"lib/Encode","CN.pm",,"X",,"skip"
"lib/Encode","Changes.e2x",,"X",,"skip"
"lib/Encode","Config.pm",,"X",,"skip"
"lib/Encode","ConfigLocal_PM.e2x",,"X",,"skip"
"lib/Encode","EBCDIC.pm",,"X",,"skip"
"lib/Encode","Encoder.pm",,"X",,"skip"
"lib/Encode","Encoding.pm",,"X",,"skip"
"lib/Encode","Guess.pm",,"X",,"skip"
"lib/Encode","JP.pm",,"X",,"skip"
"lib/Encode","KR.pm",,"X",,"skip"
"lib/Encode","Makefile_PL.e2x",,"X",,"skip"
"lib/Encode","PerlIO.pod",,"X",,"skip"
"lib/Encode","README.e2x",,"X",,"skip"
"lib/Encode","Supported.pod",,"X",,"skip"
"lib/Encode","Symbol.pm",,"X",,"skip"
"lib/Encode","TW.pm",,"X",,"skip"
"lib/Encode","Unicode.pm",,"X",,"skip"
"lib/Encode","_PM.e2x",,"X",,"skip"
"lib/Encode","_T.e2x",,"X",,"skip"
"lib/Encode","encode.h",,"X",,"skip"
"lib/Encode/CN","HZ.pm",,"X",,"skip"
"lib/Encode/JP","H2Z.pm",,"X",,"skip"
"lib/Encode/JP","JIS7.pm",,"X",,"skip"
"lib/Encode/KR","2022_KR.pm",,"X",,"skip"
"lib/Encode/MIME","Header.pm",,"X",,"skip"
"lib/Encode/Unicode","UTF7.pm",,"X",,"skip"
"lib/Env/t","array.t","X","X",,"distrib"
"lib/Env/t","env.t","X","X",,"distrib"
"lib/Exporter","Heavy.pm","X","X","X","distrib"
"lib/ExtUtils","Changes","X",,"X","skip"
"lib/ExtUtils","Command.pm","X","X","X","distrib"
"lib/ExtUtils","Constant.pm","X","X","X","distrib"
"lib/ExtUtils","Embed.pm","X","X","X","distrib"
"lib/ExtUtils","Install.pm","X","X","X","distrib"
"lib/ExtUtils","Installed.pm","X","X","X","distrib"
"lib/ExtUtils","Liblist.pm","X","X","X","distrib"
"lib/ExtUtils","MANIFEST.SKIP","X","X","X","distrib"
"lib/ExtUtils","META.yml","X",,"X","distrib"
"lib/ExtUtils","MM.pm","X","X","X","distrib"
"lib/ExtUtils","MM_Any.pm","X","X","X","distrib"
"lib/ExtUtils","MM_BeOS.pm","X","X","X","distrib"
"lib/ExtUtils","MM_Cygwin.pm","X","X","X","distrib"
"lib/ExtUtils","MM_DOS.pm","X","X","X","distrib"
"lib/ExtUtils","MM_MacOS.pm","X","X","X","distrib"
"lib/ExtUtils","MM_NW5.pm","X","X","X","distrib"
"lib/ExtUtils","MM_OS2.pm","X","X","X","distrib"
"lib/ExtUtils","MM_UWIN.pm","X","X","X","distrib"
"lib/ExtUtils","MM_Unix.pm","X","X","X","distrib"
"lib/ExtUtils","MM_VMS.pm","X","X","X","distrib"
"lib/ExtUtils","MM_Win32.pm","X","X","X","distrib"
"lib/ExtUtils","MM_Win95.pm","X","X","X","distrib"
"lib/ExtUtils","MY.pm","X","X","X","distrib"
"lib/ExtUtils","MakeMaker.pm","X","X","X","distrib"
"lib/ExtUtils","Manifest.pm","X","X","X","distrib"
"lib/ExtUtils","Miniperl.pm",,"X",,"skip"
"lib/ExtUtils","Mkbootstrap.pm","X","X","X","distrib"
"lib/ExtUtils","Mksymlists.pm","X","X","X","distrib"
"lib/ExtUtils","NOTES","X",,"X","skip"
"lib/ExtUtils","PATCHING","X",,"X","skip"
"lib/ExtUtils","Packlist.pm","X","X","X","distrib"
"lib/ExtUtils","README","X",,"X","skip"
"lib/ExtUtils","TODO","X",,"X","skip"
"lib/ExtUtils","instmodsh","X","X",,"distrib"
"lib/ExtUtils","testlib.pm","X","X","X","distrib"
"lib/ExtUtils","typemap","X","X","X","distrib"
"lib/ExtUtils","xsubpp","X","X","X","distrib"
"lib/ExtUtils/Command","MM.pm","X","X","X","distrib"
"lib/ExtUtils/Liblist","Kid.pm","X","X","X","distrib"
"lib/ExtUtils/MakeMaker","FAQ.pod","X",,"X","distrib"
"lib/ExtUtils/MakeMaker","Tutorial.pod","X",,"X","distrib"
"lib/ExtUtils/MakeMaker","bytes.pm","X","X","X","distrib"
"lib/ExtUtils/MakeMaker","vmsish.pm","X","X","X","distrib"
"lib/ExtUtils/t","00compile.t","X","X",,"distrib"
"lib/ExtUtils/t","00setup_dummy.t","X","X",,"distrib"
"lib/ExtUtils/t","Command.t","X","X",,"distrib"
"lib/ExtUtils/t","Constant.t","X","X",,"distrib"
"lib/ExtUtils/t","Embed.t","X","X",,"distrib"
"lib/ExtUtils/t","INST.t","X","X",,"distrib"
"lib/ExtUtils/t","INST_PREFIX.t","X","X",,"distrib"
"lib/ExtUtils/t","Install.t","X","X",,"distrib"
"lib/ExtUtils/t","Installed.t","X","X",,"distrib"
"lib/ExtUtils/t","Liblist.t","X","X",,"distrib"
"lib/ExtUtils/t","MM_Any.t","X","X",,"distrib"
"lib/ExtUtils/t","MM_BeOS.t","X","X",,"skip"
"lib/ExtUtils/t","MM_Cygwin.t","X","X",,"skip"
"lib/ExtUtils/t","MM_NW5.t","X","X",,"skip"
"lib/ExtUtils/t","MM_OS2.t","X","X",,"skip"
"lib/ExtUtils/t","MM_Unix.t","X","X",,"distrib"
"lib/ExtUtils/t","MM_VMS.t","X","X",,"skip"
"lib/ExtUtils/t","MM_Win32.t","X","X",,"skip"
"lib/ExtUtils/t","Manifest.t","X","X",,"distrib"
"lib/ExtUtils/t","Mkbootstrap.t","X","X",,"distrib"
"lib/ExtUtils/t","Packlist.t","X","X",,"distrib"
"lib/ExtUtils/t","VERSION_FROM.t","X","X",,"distrib"
"lib/ExtUtils/t","backwards.t","X","X",,"distrib"
"lib/ExtUtils/t","basic.t","X","X",,"distrib"
"lib/ExtUtils/t","bytes.t","X","X",,"distrib"
"lib/ExtUtils/t","hints.t","X","X",,"distrib"
"lib/ExtUtils/t","oneliner.t","X","X",,"distrib"
"lib/ExtUtils/t","postamble.t","X","X",,"distrib"
"lib/ExtUtils/t","prefixify.t","X","X",,"distrib"
"lib/ExtUtils/t","prereq_print.t","X","X",,"distrib"
"lib/ExtUtils/t","problems.t","X","X",,"distrib"
"lib/ExtUtils/t","prompt.t","X","X",,"distrib"
"lib/ExtUtils/t","recurs.t","X","X",,"distrib"
"lib/ExtUtils/t","split_command.t","X","X",,"distrib"
"lib/ExtUtils/t","testlib.t","X","X",,"distrib"
"lib/ExtUtils/t","vmsish.t","X","X",,"distrib"
"lib/ExtUtils/t","writemakefile_args.t","X","X",,"distrib"
"lib/ExtUtils/t","zz_cleanup_dummy.t","X","X",,"distrib"
"lib/File",".exists",,"X",,"skip"
"lib/File","Basename.pm","X","X","X","distrib"
"lib/File","Basename.t","X","X",,"distrib"
"lib/File","CheckTree.pm","X","X","X","distrib"
"lib/File","CheckTree.t","X","X",,"distrib"
"lib/File","Compare.pm","X","X","X","distrib"
"lib/File","Compare.t","X","X",,"distrib"
"lib/File","Copy.pm","X","X","X","distrib"
"lib/File","Copy.t","X","X",,"distrib"
"lib/File","DosGlob.pm","X","X","X","distrib"
"lib/File","DosGlob.t","X","X",,"distrib"
"lib/File","Find.pm","X","X","X","distrib"
"lib/File","Glob.pm",,"X",,"skip"
"lib/File","Path.pm","X","X","X","distrib"
"lib/File","Path.t","X","X",,"distrib"
"lib/File","Spec.pm","X","X","X","distrib"
"lib/File","Temp.pm","X","X","X","distrib"
"lib/File","stat.pm","X","X","X","distrib"
"lib/File","stat.t","X","X",,"distrib"
"lib/File/Find/t","find.t","X","X",,"distrib"
"lib/File/Find/t","taint.t","X","X",,"distrib"
"lib/File/Spec","Cygwin.pm","X","X","X","distrib"
"lib/File/Spec","Epoc.pm","X","X","X","distrib"
"lib/File/Spec","Functions.pm","X","X","X","distrib"
"lib/File/Spec","Mac.pm","X","X","X","distrib"
"lib/File/Spec","OS2.pm","X","X","X","distrib"
"lib/File/Spec","Unix.pm","X","X","X","distrib"
"lib/File/Spec","VMS.pm","X","X","X","distrib"
"lib/File/Spec","Win32.pm","X","X","X","distrib"
"lib/File/Spec/t","Functions.t","X","X",,"distrib"
"lib/File/Spec/t","Spec.t","X","X",,"distrib"
"lib/File/Spec/t","crossplatform.t","X","X",,"distrib"
"lib/File/Spec/t","rel2abs2rel.t","X","X",,"distrib"
"lib/File/Temp/t","mktemp.t","X","X",,"distrib"
"lib/File/Temp/t","object.t","X","X",,"distrib"
"lib/File/Temp/t","posix.t","X","X",,"distrib"
"lib/File/Temp/t","security.t","X","X",,"distrib"
"lib/File/Temp/t","tempfile.t","X","X",,"distrib"
"lib/FileCache/t","01open.t","X","X",,"distrib"
"lib/FileCache/t","02maxopen.t","X","X",,"distrib"
"lib/FileCache/t","03append.t","X","X",,"distrib"
"lib/FileCache/t","04twoarg.t","X","X",,"distrib"
"lib/FileCache/t","05override.t","X","X",,"distrib"
"lib/Filter","Simple.pm","X","X","X","distrib"
"lib/Filter/Simple","Changes","X",,"X","skip"
"lib/Filter/Simple","README","X",,"X","skip"
"lib/Filter/Simple/t","data.t","X","X",,"distrib"
"lib/Filter/Simple/t","export.t","X","X",,"distrib"
"lib/Filter/Simple/t","filter.t","X","X",,"distrib"
"lib/Filter/Simple/t","filter_only.t","X","X",,"distrib"
"lib/Filter/Simple/t","import.t","X","X",,"distrib"
"lib/Filter/Util",".exists",,"X",,"skip"
"lib/Filter/Util","Call.pm",,"X",,"skip"
"lib/Getopt","Long.pm","X","X","X","distrib"
"lib/Getopt","Std.pm","X","X","X","distrib"
"lib/Getopt","Std.t","X","X",,"distrib"
"lib/Getopt/Long","CHANGES","X",,"X","skip"
"lib/Getopt/Long","README","X",,"X","skip"
"lib/Getopt/Long/t","gol-basic.t","X","X",,"distrib"
"lib/Getopt/Long/t","gol-compat.t","X","X",,"distrib"
"lib/Getopt/Long/t","gol-linkage.t","X","X",,"distrib"
"lib/Getopt/Long/t","gol-oo.t","X","X",,"distrib"
"lib/Hash","Util.pm","X","X","X","distrib"
"lib/Hash","Util.t","X","X",,"distrib"
"lib/I18N",".exists",,"X",,"skip"
"lib/I18N","Collate.pm","X","X","X","distrib"
"lib/I18N","Collate.t","X","X",,"distrib"
"lib/I18N","LangTags.pm","X","X","X","distrib"
"lib/I18N","Langinfo.pm",,"X",,"skip"
"lib/I18N/LangTags","ChangeLog","X",,"X","skip"
"lib/I18N/LangTags","List.pm","X","X","X","distrib"
"lib/I18N/LangTags","README","X",,"X","skip"
"lib/I18N/LangTags/t","01test.t","X","X",,"distrib"
"lib/I18N/LangTags/t","02decency.t","X","X",,"distrib"
"lib/IO","Dir.pm",,"X",,"skip"
"lib/IO","File.pm",,"X",,"skip"
"lib/IO","Handle.pm",,"X",,"skip"
"lib/IO","Pipe.pm",,"X",,"skip"
"lib/IO","Poll.pm",,"X",,"skip"
"lib/IO","Seekable.pm",,"X",,"skip"
"lib/IO","Select.pm",,"X",,"skip"
"lib/IO","Socket.pm",,"X",,"skip"
"lib/IO/Socket","INET.pm",,"X",,"skip"
"lib/IO/Socket","UNIX.pm",,"X",,"skip"
"lib/IPC",".exists",,"X",,"skip"
"lib/IPC","Msg.pm",,"X",,"skip"
"lib/IPC","Open2.pm","X","X","X","distrib"
"lib/IPC","Open2.t","X","X",,"distrib"
"lib/IPC","Open3.pm","X","X","X","distrib"
"lib/IPC","Open3.t","X","X",,"distrib"
"lib/IPC","Semaphore.pm",,"X",,"skip"
"lib/IPC","SysV.pm",,"X",,"skip"
"lib/List",".exists",,"X",,"skip"
"lib/List","Util.pm",,"X",,"skip"
"lib/Locale","Constants.pm","X","X","X","distrib"
"lib/Locale","Constants.pod","X",,"X","distrib"
"lib/Locale","Country.pm","X","X","X","distrib"
"lib/Locale","Country.pod","X",,"X","distrib"
"lib/Locale","Currency.pm","X","X","X","distrib"
"lib/Locale","Currency.pod","X",,"X","distrib"
"lib/Locale","Language.pm","X","X","X","distrib"
"lib/Locale","Language.pod","X",,"X","distrib"
"lib/Locale","Maketext.pm","X","X","X","distrib"
"lib/Locale","Maketext.pod","X",,"X","distrib"
"lib/Locale","Script.pm","X","X","X","distrib"
"lib/Locale","Script.pod","X",,"X","distrib"
"lib/Locale/Codes","ChangeLog","X",,"X","skip"
"lib/Locale/Codes","README","X",,"X","skip"
"lib/Locale/Codes/t","all.t","X","X",,"distrib"
"lib/Locale/Codes/t","constants.t","X","X",,"distrib"
"lib/Locale/Codes/t","country.t","X","X",,"distrib"
"lib/Locale/Codes/t","currency.t","X","X",,"distrib"
"lib/Locale/Codes/t","languages.t","X","X",,"distrib"
"lib/Locale/Codes/t","rename.t","X","X",,"distrib"
"lib/Locale/Codes/t","script.t","X","X",,"distrib"
"lib/Locale/Codes/t","uk.t","X","X",,"distrib"
"lib/Locale/Maketext","ChangeLog","X",,"X","skip"
"lib/Locale/Maketext","Guts.pm","X","X","X","distrib"
"lib/Locale/Maketext","GutsLoader.pm","X","X","X","distrib"
"lib/Locale/Maketext","README","X",,"X","skip"
"lib/Locale/Maketext","TPJ13.pod","X",,"X","distrib"
"lib/Locale/Maketext/t","00about.t","X","X",,"distrib"
"lib/Locale/Maketext/t","01make.t","X","X",,"distrib"
"lib/Locale/Maketext/t","02get.t","X","X",,"distrib"
"lib/Locale/Maketext/t","03http.t","X","X",,"distrib"
"lib/Locale/Maketext/t","04super.t","X","X",,"distrib"
"lib/Locale/Maketext/t","05super.t","X","X",,"distrib"
"lib/Locale/Maketext/t","06super.t","X","X",,"distrib"
"lib/Locale/Maketext/t","90utf8.t","X","X",,"distrib"
"lib/MIME",".exists",,"X",,"skip"
"lib/MIME","Base64.pm",,"X",,"skip"
"lib/MIME","QuotedPrint.pm",,"X",,"skip"
"lib/Math","BigFloat.pm","X","X","X","distrib"
"lib/Math","BigInt.pm","X","X","X","distrib"
"lib/Math","BigRat.pm","X","X","X","distrib"
"lib/Math","Complex.pm","X","X","X","distrib"
"lib/Math","Complex.t","X","X",,"distrib"
"lib/Math","Trig.pm","X","X","X","distrib"
"lib/Math","Trig.t","X","X",,"distrib"
"lib/Math/BigFloat","Trace.pm","X",,"X","distrib"
"lib/Math/BigInt","Calc.pm","X","X","X","distrib"
"lib/Math/BigInt","CalcEmu.pm","X","X","X","distrib"
"lib/Math/BigInt","Trace.pm","X",,"X","distrib"
"lib/Math/BigInt/t","_e_math.t","X","X",,"distrib"
"lib/Math/BigInt/t","alias.inc","X","X",,"distrib"
"lib/Math/BigInt/t","bare_mbf.t","X","X",,"distrib"
"lib/Math/BigInt/t","bare_mbi.t","X","X",,"distrib"
"lib/Math/BigInt/t","bare_mif.t","X","X",,"distrib"
"lib/Math/BigInt/t","bigfltpm.inc","X","X",,"distrib"
"lib/Math/BigInt/t","bigfltpm.t","X","X",,"distrib"
"lib/Math/BigInt/t","bigintc.t","X","X",,"distrib"
"lib/Math/BigInt/t","bigintpm.inc","X","X",,"distrib"
"lib/Math/BigInt/t","bigintpm.t","X","X",,"distrib"
"lib/Math/BigInt/t","bigints.t","X","X",,"distrib"
"lib/Math/BigInt/t","biglog.t","X","X",,"distrib"
"lib/Math/BigInt/t","bigroot.t","X","X",,"distrib"
"lib/Math/BigInt/t","calling.t","X","X",,"distrib"
"lib/Math/BigInt/t","config.t","X","X",,"distrib"
"lib/Math/BigInt/t","const_mbf.t","X","X",,"distrib"
"lib/Math/BigInt/t","constant.t","X","X",,"distrib"
"lib/Math/BigInt/t","downgrade.t","X","X",,"distrib"
"lib/Math/BigInt/t","fallback.t","X","X",,"distrib"
"lib/Math/BigInt/t","inf_nan.t","X","X",,"distrib"
"lib/Math/BigInt/t","isa.t","X","X",,"distrib"
"lib/Math/BigInt/t","mbf_ali.t","X","X",,"distrib"
"lib/Math/BigInt/t","mbi_ali.t","X","X",,"distrib"
"lib/Math/BigInt/t","mbi_rand.t","X","X",,"distrib"
"lib/Math/BigInt/t","mbimbf.inc","X","X",,"distrib"
"lib/Math/BigInt/t","mbimbf.t","X","X",,"distrib"
"lib/Math/BigInt/t","req_mbf0.t","X","X",,"distrib"
"lib/Math/BigInt/t","req_mbf1.t","X","X",,"distrib"
"lib/Math/BigInt/t","req_mbfa.t","X","X",,"distrib"
"lib/Math/BigInt/t","req_mbfi.t","X","X",,"distrib"
"lib/Math/BigInt/t","req_mbfn.t","X","X",,"distrib"
"lib/Math/BigInt/t","req_mbfw.t","X","X",,"distrib"
"lib/Math/BigInt/t","require.t","X","X",,"distrib"
"lib/Math/BigInt/t","sub_ali.t","X","X",,"distrib"
"lib/Math/BigInt/t","sub_mbf.t","X","X",,"distrib"
"lib/Math/BigInt/t","sub_mbi.t","X","X",,"distrib"
"lib/Math/BigInt/t","sub_mif.t","X","X",,"distrib"
